filename,rows_in_df,final_path,windows_path,num_windows
課文_L5_CH3_1-1,1559,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH3_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH3_1-1__windows.csv,234
課文_L5_CH3_2-1,1559,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH3_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH3_2-1__windows.csv,231
課文_L5_CH4_1-1,1446,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH4_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH4_1-1__windows.csv,247
課文_L5_CH4_2-1,1402,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH4_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH4_2-1__windows.csv,240
課文_L5_CH5_1-1,1469,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH5_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH5_1-1__windows.csv,270
課文_L5_CH5_2-1,1464,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH5_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L5_CH5_2-1__windows.csv,249
課文_L6_CH1_1-1,761,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH1_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH1_1-1__windows.csv,120
課文_L6_CH1_2-1,713,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH1_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH1_2-1__windows.csv,107
課文_L6_CH2_1-1,1522,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH2_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH2_1-1__windows.csv,237
課文_L6_CH2_2-1,1466,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH2_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH2_2-1__windows.csv,236
課文_L6_CH3_1-1,1369,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH3_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH3_1-1__windows.csv,218
課文_L6_CH3_2-1,1383,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH3_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH3_2-1__windows.csv,216
課文_L6_CH4_1-1,1310,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH4_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH4_1-1__windows.csv,231
課文_L6_CH4_2-1,1303,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH4_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH4_2-1__windows.csv,233
課文_L6_CH5_1-1,1325,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH5_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH5_1-1__windows.csv,213
課文_L6_CH5_2-1,1322,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH5_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L6_CH5_2-1__windows.csv,211
課文_L7_CH1_1-1,1797,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH1_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH1_1-1__windows.csv,250
課文_L7_CH1_2-1,1805,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH1_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH1_2-1__windows.csv,259
課文_L7_CH2_1-1,1894,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH2_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH2_1-1__windows.csv,327
課文_L7_CH2_2-1,1882,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH2_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH2_2-1__windows.csv,330
課文_L7_CH3_1-1,1420,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH3_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH3_1-1__windows.csv,183
課文_L7_CH3_2-1,1420,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH3_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L7_CH3_2-1__windows.csv,190
